Volume Identifier,Access,Rights,U Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title (Marc 245,Imprint (MARC 260 a+b),Rights determination reason code,Date last update,Govt document,Pub date,Pub place,Language,Format
njp.32101013625742,allow,public domain,1476184,,Princeton University,1556766,1159910,,,3030810,"The practical astronomer. Comprising illustrations of light and colours - practical descriptions of all kinds of telescopes - the use of equatorial-transit - circular, and other astronomical instruments, a particular account of the Earl of Rosse's large telescopes, and other topics connected with astronomy ...","Harper, 1846",bibliographically-derived by automatic processes,10/28/2010 19:30,0,1846,New York (State),English,Book
hvd.hn1tau,allow,public domain,1476184,,Harvard University,4640043,1159910,,,3030810,"The practical astronomer. Comprising illustrations of light and colours - practical descriptions of all kinds of telescopes - the use of equatorial-transit - circular, and other astronomical instruments, a particular account of the Earl of Rosse's large telescopes, and other topics connected with astronomy ...","Harper, 1846",bibliographically-derived by automatic processes,5/31/2012 19:33,0,1846,New York (State),English,Book
nyp.33433087586297,allow,public domain,1476184,,New York Public Library,.b137471762,1159910,,,3030810,"The practical astronomer. Comprising illustrations of light and colours - practical descriptions of all kinds of telescopes - the use of equatorial-transit - circular, and other astronomical instruments, a particular account of the Earl of Rosse's large telescopes, and other topics connected with astronomy ...","Harper, 1846",bibliographically-derived by automatic processes,4/18/2013 19:25,0,1846,New York (State),English,Book
uc1.b35580,allow,public domain only when viewed in the US,1476187,,University of California,GLAD50421956-B,8989910,,,04004434 //r86,"Stargazing: past and present. By J. Norman Lockyer ... Expanded from shorthand notes of a course of Royal institution lectures with the assistance of G. M. Seabroke, F.R.A.S.","Macmillan and co., 1878.",bibliographically-derived by automatic processes,4/5/2013 19:25,0,1878,England,English,Book
uc2.ark:/13960/t81j98p7w,allow,public domain only when viewed in the US,1476187,,University of California,.b131367213,8989910,,,04004434 //r86,"Stargazing: past and present. By J. Norman Lockyer ... Expanded from shorthand notes of a course of Royal institution lectures with the assistance of G. M. Seabroke, F.R.A.S.","Macmillan and co., 1878.",bibliographically-derived by automatic processes,2/9/2011 19:30,0,1878,England,English,Book
bc.ark:/13960/t2d802r3z,allow,public domain,1476196,,Boston College,BCL01000000000000000159825,399559,,,22011434,The telescope / by Louis Bell ...,"McGraw-Hill book company, inc., 1922.",bibliographically-derived by automatic processes,8/22/2012 19:30,0,1922,New York (State),English,Book
mdp.39015077831405,allow,public domain only when viewed in the US,1476206,,University of Michigan,1476206,23422125,,,6020657,Description d'un nouveau système de télescope;,"Gauthier-Villars, 1884]",bibliographically-derived by automatic processes,6/11/2009 22:30,0,1884,France,French,Book
mdp.39015086800615,allow,public domain only when viewed in the US,1476214,,University of Michigan,1476214,9487964,,,6000897,"Description of the star camera,","[S. T. Leigh & co., printers] 1892.",bibliographically-derived by automatic processes,6/28/2010 11:33,0,1892,Australia,English,Book
mdp.39015051169103,allow,public domain only when viewed in the US,1476217,,University of Michigan,1476217,30618174,,,5031487,Ueber die grundbedingungen mikrometrischer einstellung bei teleskopen ...,A. W. Schade's buchdruckerei (L. Schade) [1886],bibliographically-derived by automatic processes,2/13/2011 19:30,0,1886,Germany,German,Book
mdp.39015073268743,allow,public domain,1476223,,University of Michigan,1476223,34976698,,,5037127,"Declinations- bestimmungen mit dem Dollond'schen durchgangs-instrumente auf der Berliner sternwarte,","Druck von G. Shade, 1858.",bibliographically-derived by automatic processes,6/12/2009 22:30,0,1858,Germany,German,Book
mdp.39015064585196,allow,public domain only when viewed in the US,1476224,,University of Michigan,1476224,67401371,,,4032461,Le service chronométrique à l'observatoire de Genève et les concours de réglage de la classe d'industrie et commerce de la Société des arts de Genève avec une étude des épreuves instituées dans d'autres observatoires pour les chronomètres de poche--Supplement à la publication <<Le sevice chronométrique à l'Observatoire de Genève etc.>>,1895,bibliographically-derived by automatic processes,2/22/2012 19:30,0,1895,Switzerland,French,Book
mdp.39015017164099,allow,public domain,1476232,,University of Michigan,1476232,15790725,,,06011244 //r87,"An investigation in stellar photography, conducted at the Harvard college observatory with the aid of an appropriation from the Bache fund, by Edward C. Pickering ...","J. Wilson and son, 1886.",bibliographically-derived by automatic processes,2/20/2010 22:30,0,1886,Massachusetts,English,Book
