mdp.39015008949565,   
mdp.39015009646558,   
mdp.39015008949516,   
mdp.39015008949557,   
mdp.39015010371329,   
mdp.39015010371311,   
mdp.39015010371295,   
mdp.39015023744843,   
mdp.39015010371337,   
mdp.39015009643225,   
mdp.39015009722144,   
mdp.39015025478465,   
mdp.39015009725402,   
mdp.39015009643241,   
mdp.39015009643233,   
mdp.39015009643258,   
mdp.39015009643266,   
mdp.39015010689027,   
mdp.39015010371774,   
mdp.39015010373978,   
mdp.39015010373960,   
mdp.39015010373952,   
mdp.39015010373945,   
mdp.39015010373937,   
mdp.39015010373929,   
mdp.39015027682940,   
mdp.39015027682957,   
mdp.39015027682965,   
mdp.39015027682973,   
mdp.39015027682981,   
mdp.39015009699896,   
mdp.39015009699912,   
mdp.39015009699888,   
mdp.39015009699763,   
mdp.39015009699870,   
mdp.39015009699904,   
mdp.39015010374042,   
mdp.39015009652242,   
mdp.39015009699755,   
mdp.39015009699706,   
mdp.39015009699730,   
mdp.39015009699722,   
mdp.39015009699714,   
mdp.39015009742688,   
mdp.39015009742696,   
mdp.39015009742704,   
mdp.39015009699862,   
mdp.39015009699813,   
mdp.39015010372178,   
mdp.39015010372186,   
mdp.39015010372194,   
mdp.39015010372202,   
mdp.39015010372210,   
mdp.39015010372228,   
mdp.39015010372236,   
mdp.39015010372244,   
mdp.39015010372251,   
mdp.39015010372269,   
mdp.39015010372095,   
mdp.39015010372277,   
mdp.39015010372285,   
mdp.39015010373416,   
mdp.39015009646442,   
mdp.39015009646434,   
mdp.39015009646426,   
mdp.39015009646418,   
mdp.39015009780316,   
mdp.39015009737118,   
mdp.39015009727952,   
mdp.39015009722110,   
mdp.39015009729214,   
mdp.39015009728208,   
mdp.39015009722300,   
mdp.39015009698195,   
mdp.39015009779235,   
uc1.32106007131540,   
mdp.39015009643423,   
mdp.39015009723969,   
mdp.39015009725113,   
mdp.39015009725121,   
mdp.39015009725139,   
uc1.32106008739788,   
uc1.32106008739796,   
mdp.39015009779243,   
mdp.39015009723928,   
mdp.39015009644256,   
