Volume Identifier,Access,Rights,University of Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title,Imprint,Rights determination reason code,Date of last update,Government Document,Publication Date,Publication Place,Language,Bibliograhic Format
uiug.30112104078453,allow,pd,001476789,,UIU,359124,730624,,,72600092 //r85,The quiet sun [by] Edward G. Gibson.,"National Aeronautics and Space Administration, Scientific and Technical Information Office; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bib,2012-04-06 19:30:08,1,1973,dcu,eng,BK
mdp.39015051175209,allow,pd,001476790,,MiU,001476790,34313857,,,17011036,The sun.,"C. Scribner & co., 1870.",bib,2012-02-22 19:30:13,0,1870,nyu,eng,BK
uc1.b4252437,allow,pd,001476795,,UC,"GLAD84170516-B,b167197496",15221254,,,05007707 //r87,"Contributions to solar physics. I. A popular account of inquiries into the physical constitution of the sun, with special reference to recent spectroscopic researches; II. Communications to the Royal society of London, and the French Academy of sciences, with notes. By J. Norman Lockyer, F.R.S.","Macmillan and co., 1874.",add,2013-02-28 17:27:07,0,1874,enk,eng,BK
nyp.33433069087595,allow,pd,001476795,,NYP,.b137505140,15221254,,,05007707 //r87,"Contributions to solar physics. I. A popular account of inquiries into the physical constitution of the sun, with special reference to recent spectroscopic researches; II. Communications to the Royal society of London, and the French Academy of sciences, with notes. By J. Norman Lockyer, F.R.S.","Macmillan and co., 1874.",add,2013-02-28 17:27:12,0,1874,enk,eng,BK
mdp.39015065511563,allow,pd,001476797,,MiU,001476797,531589,,,49004507,Our sun / Donald H. Menzel.,"Blakiston, 1949.",ren,2011-09-01 05:30:06,0,1949,pau,eng,BK
mdp.39015033588933,allow,pd,001476797,,MiU,001476797,531589,,,49004507,Our sun / Donald H. Menzel.,"Blakiston, 1949.",ren,2011-08-27 05:30:04,0,1949,pau,eng,BK
uc1.b4264146,allow,pd,001476797,,UC,"GLAD151450951-B,GLAD100877945-B",531589,,,49004507,Our sun / Donald H. Menzel.,"Blakiston, 1949.",ren,2011-08-27 05:30:04,0,1949,pau,eng,BK
uc1.b4520398,allow,pd,001476797,,UC,"GLAD151450951-B,GLAD100877945-B",531589,,,49004507,Our sun / Donald H. Menzel.,"Blakiston, 1949.",ren,2010-10-19 15:34:37,0,1949,pau,eng,BK
mdp.39015076297715,allow,pdus,001476799,,MiU,001476799,2017530,,,10015887 //r87,"Vorlesungen über die physik der sonne, von E. Pringsheim ... mit 235 in den text gedruckten abbildungen und 7 figurentafeln.","B.G. Teubner, 1910.",bib,2013-04-04 19:25:22,0,1910,gw ,ger,BK
uc1.b4501624,allow,pdus,001476799,,UC,GLAD50512054-B,2017530,,,10015887 //r87,"Vorlesungen über die physik der sonne, von E. Pringsheim ... mit 235 in den text gedruckten abbildungen und 7 figurentafeln.","B.G. Teubner, 1910.",bib,2013-04-05 19:26:11,0,1910,gw ,ger,BK
